Date,Open,High,Low,Close
2025-02-08,6246.38,6284.0,6109.36,6253.25
2025-02-09,6227.63,6333.92,5939.05,6068.01
2025-02-10,6040.12,6111.94,5910.92,5999.92
2025-02-11,5988.21,6089.66,5844.07,5994.78
2025-02-12,6024.55,6120.19,6011.07,6075.78
2025-02-13,6062.61,6156.96,5895.28,5918.88
2025-02-14,5863.83,6024.04,5727.82,6004.64
2025-02-15,6012.56,6042.27,5851.01,5888.09
2025-02-16,5889.2,6024.83,5567.28,5652.62
2025-02-17,5632.43,5753.77,5328.69,5462.49
2025-02-18,5448.59,5555.68,5357.82,5502.19
2025-02-19,5515.14,5637.4,5320.96,5440.35
2025-02-20,5410.21,5449.01,5228.89,5281.87
2025-02-21,5260.42,5295.81,5155.06,5246.45
2025-02-22,5269.15,5307.7,5145.51,5161.68
2025-02-23,5144.9,5256.41,5063.26,5093.64
2025-02-24,5096.14,5279.03,5002.15,5245.48
2025-02-25,5217.78,5357.22,5152.44,5252.23
2025-02-26,5236.42,5294.5,5203.59,5246.77
2025-02-27,5254.9,5475.49,5202.19,5389.59
2025-02-28,5397.46,5406.9,5259.47,5338.53
2025-03-01,5327.24,5436.6,5204.62,5382.92
2025-03-02,5385.11,5467.75,5287.68,5360.02
2025-03-03,5377.34,5520.81,5320.24,5482.49
2025-03-04,5498.6,5672.67,5363.21,5558.67
2025-03-05,5553.58,5585.78,5480.39,5531.28
2025-03-06,5543.84,5664.88,5504.83,5525.7
2025-03-07,5537.73,5697.08,5422.7,5633.85
2025-03-08,5672.7,5810.88,5517.83,5640.06
2025-03-09,5636.75,5748.24,5505.99,5688.65
2025-03-10,5741.66,5873.65,5633.29,5655.12
2025-03-11,5638.26,5708.07,5416.23,5539.82
2025-03-12,5607.56,5660.69,5381.99,5425.28
2025-03-13,5421.24,5438.93,5365.86,5412.78
2025-03-14,5405.17,5438.26,5380.76,5418.12
2025-03-15,5443.35,5556.24,5340.2,5513.18
2025-03-16,5488.65,5577.82,5393.19,5484.38
2025-03-17,5471.6,5593.91,5350.71,5441.3
2025-03-18,5453.97,5587.63,5379.3,5444.73
2025-03-19,5401.94,5589.04,5383.03,5531.54
2025-03-20,5539.28,5624.48,5400.19,5415.93
2025-03-21,5430.88,5480.24,5358.47,5403.72
2025-03-22,5394.84,5446.43,5204.62,5293.64
2025-03-23,5297.67,5418.31,5163.49,5234.13
2025-03-24,5228.5,5259.54,5026.45,5084.04
2025-03-25,5090.65,5190.2,4924.08,4975.54
2025-03-26,4996.91,5051.27,4793.64,4907.18
2025-03-27,4854.26,5003.09,4821.41,4922.23
2025-03-28,4944.3,4963.46,4807.24,4909.28
2025-03-29,4858.83,4937.9,4845.71,4873.74
2025-03-30,4860.36,4982.51,4774.17,4920.06
2025-03-31,4914.13,5041.9,4861.99,4947.45
2025-04-01,4956.51,5076.43,4834.54,4923.98
2025-04-02,4899.93,4997.25,4882.98,4981.56
2025-04-03,4991.97,5141.69,4901.65,5047.66
2025-04-04,5049.38,5203.41,4941.93,5130.82
2025-04-05,5113.62,5312.68,5011.03,5199.81
2025-04-06,5216.29,5397.57,5153.3,5288.44
2025-04-07,5264.8,5473.11,5204.44,5394.15
2025-04-08,5379.44,5499.74,5294.52,5407.62
2025-04-09,5411.72,5507.2,5346.06,5457.54
2025-04-10,5424.8,5542.34,5338.83,5428.85
2025-04-11,5387.44,5537.52,5331.05,5450.14
2025-04-12,5396.0,5407.89,5361.82,5382.0
2025-04-13,5351.13,5397.38,5269.11,5361.92
2025-04-14,5353.21,5584.41,5239.54,5516.05
2025-04-15,5512.04,5598.15,5380.95,5537.74
2025-04-16,5578.44,5644.56,5533.22,5564.45
2025-04-17,5530.6,5614.38,5449.31,5582.23
2025-04-18,5554.71,5860.71,5492.23,5746.5
2025-04-19,5728.12,5846.04,5661.7,5801.59
2025-04-20,5766.75,5905.14,5690.29,5827.52
2025-04-21,5845.29,5912.64,5751.5,5769.88
2025-04-22,5794.73,5899.57,5674.42,5742.58
2025-04-23,5750.48,5758.33,5605.4,5677.15
2025-04-24,5693.03,5808.47,5606.84,5622.96
2025-04-25,5566.08,5768.34,5502.35,5627.94
2025-04-26,5610.42,5808.83,5470.46,5692.49
2025-04-27,5691.33,5820.2,5644.05,5695.49
2025-04-28,5712.58,5845.88,5658.25,5688.59
2025-04-29,5714.44,5722.74,5598.69,5640.92
2025-04-30,5634.15,5744.08,5498.61,5702.34
2025-05-01,5691.86,5825.9,5609.15,5695.51
2025-05-02,5727.41,5845.01,5541.63,5634.12
2025-05-03,5643.01,5745.67,5552.51,5618.51
2025-05-04,5671.1,5781.94,5650.97,5774.5
2025-05-05,5772.88,5967.72,5716.68,5877.68
2025-05-06,5931.4,6039.28,5779.7,5828.63
2025-05-07,5844.89,5956.14,5690.72,5799.1
2025-05-08,5813.72,5951.98,5575.61,5639.59
2025-05-09,5566.6,5676.29,5457.38,5616.5
2025-05-10,5620.96,5643.44,5511.18,5564.49
2025-05-11,5571.48,5711.81,5445.0,5662.57
2025-05-12,5613.97,5732.27,5451.35,5588.2
2025-05-13,5567.47,5674.09,5442.03,5619.07
2025-05-14,5629.01,5646.28,5516.68,5550.04
2025-05-15,5530.28,5644.07,5475.91,5481.66
2025-05-16,5445.75,5600.65,5402.27,5506.65
2025-05-17,5496.56,5611.56,5435.27,5543.08
2025-05-18,5583.82,5670.75,5505.08,5520.72
2025-05-19,5575.6,5649.2,5402.93,5534.25
2025-05-20,5518.69,5714.55,5441.05,5635.29
2025-05-21,5634.95,5724.36,5488.34,5505.79
2025-05-22,5469.17,5691.35,5451.27,5570.18
2025-05-23,5578.4,5683.11,5472.83,5647.3
2025-05-24,5668.37,5755.99,5501.91,5585.71
2025-05-25,5548.7,5661.56,5403.07,5506.57
2025-05-26,5494.62,5567.6,5372.01,5397.09
2025-05-27,5443.24,5466.86,5316.51,5413.89
2025-05-28,5438.75,5565.29,5372.02,5434.36
2025-05-29,5427.5,5469.39,5311.33,5348.99
2025-05-30,5290.69,5353.88,5266.67,5326.69
2025-05-31,5305.93,5433.77,5105.31,5174.99
2025-06-01,5147.54,5227.28,5003.45,5098.69
2025-06-02,5084.28,5214.33,5071.36,5096.6
2025-06-03,5105.9,5174.37,4994.54,5142.15
2025-06-04,5129.78,5237.94,4909.15,5030.24
2025-06-05,5064.85,5237.16,5042.01,5120.58
2025-06-06,5147.75,5166.22,4934.2,5045.94
2025-06-07,5043.64,5096.48,4929.8,4949.95
2025-06-08,4935.04,5057.27,4887.09,5012.41
2025-06-09,4980.13,5021.32,4900.12,5004.9
2025-06-10,5003.44,5184.18,4888.44,5154.03
2025-06-11,5146.36,5261.94,5084.1,5243.94
2025-06-12,5214.63,5370.47,5193.34,5305.01
2025-06-13,5306.39,5455.85,5261.16,5400.39
2025-06-14,5428.69,5459.91,5257.95,5343.67
2025-06-15,5395.24,5530.08,5347.37,5471.7
2025-06-16,5447.61,5617.59,5320.74,5575.4
2025-06-17,5532.43,5670.05,5485.22,5566.42
2025-06-18,5607.16,5713.48,5370.56,5469.95
2025-06-19,5488.32,5540.75,5350.22,5453.1
2025-06-20,5420.51,5578.45,5375.69,5481.61
2025-06-21,5472.23,5524.19,5334.32,5446.26
2025-06-22,5455.09,5511.65,5338.89,5448.31
2025-06-23,5429.36,5501.66,5357.05,5399.6
2025-06-24,5393.85,5627.39,5385.78,5521.3
2025-06-25,5502.03,5698.54,5438.1,5605.12
2025-06-26,5589.46,5705.79,5462.82,5577.71
2025-06-27,5580.38,5721.16,5528.61,5675.09
2025-06-28,5646.45,5733.88,5637.93,5685.38
2025-06-29,5682.12,5803.12,5569.17,5683.97
2025-06-30,5708.84,5907.2,5603.24,5767.07
2025-07-01,5767.24,5829.65,5689.85,5779.91
2025-07-02,5790.0,5971.97,5709.59,5835.6
2025-07-03,5834.5,5892.67,5751.41,5763.21
2025-07-04,5744.0,5858.86,5726.67,5820.54
2025-07-05,5887.35,5980.15,5820.99,5907.08
2025-07-06,5891.46,6038.32,5802.22,5942.63
2025-07-07,5929.58,6043.55,5801.83,5879.64
2025-07-08,5871.9,5986.3,5851.56,5935.95
2025-07-09,5916.68,6133.31,5798.71,6048.05
2025-07-10,6056.21,6251.57,5932.98,6181.72
2025-07-11,6191.42,6464.11,6064.67,6343.98
2025-07-12,6397.83,6520.55,5993.59,6143.99
2025-07-13,6156.63,6357.27,6063.53,6208.07
2025-07-14,6215.11,6418.06,6135.07,6271.44
2025-07-15,6236.3,6372.08,6195.96,6290.68
2025-07-16,6315.24,6441.45,6243.11,6297.45
2025-07-17,6290.0,6339.31,6156.03,6246.99
2025-07-18,6214.24,6322.27,6167.85,6313.42
2025-07-19,6327.69,6524.3,6237.97,6408.7
2025-07-20,6401.35,6556.97,6384.62,6398.28
2025-07-21,6459.12,6500.37,6385.44,6403.69
2025-07-22,6421.97,6483.66,6292.2,6363.75
2025-07-23,6403.76,6640.88,6301.18,6493.1
2025-07-24,6457.57,6552.39,6283.87,6433.82
2025-07-25,6458.26,6519.86,6428.49,6435.34
2025-07-26,6434.92,6545.45,6316.3,6359.1
2025-07-27,6305.89,6391.17,6187.11,6362.58
2025-07-28,6359.55,6442.56,6319.17,6335.42
2025-07-29,6342.06,6437.71,6237.05,6378.57
2025-07-30,6368.93,6447.08,6201.37,6338.71
2025-07-31,6259.38,6619.76,6180.35,6528.37
2025-08-01,6526.72,6680.39,6374.3,6658.25
2025-08-02,6638.17,6779.66,6416.48,6510.58
2025-08-03,6572.88,6720.14,6455.93,6607.53
2025-08-04,6670.36,6848.84,6604.67,6724.36
2025-08-05,6695.37,6800.0,6398.48,6512.74
2025-08-06,6513.96,6546.86,6247.2,6396.68
2025-08-07,6368.13,6626.84,6235.68,6469.54
2025-08-08,6523.81,6617.3,6464.45,6478.71
2025-08-09,6497.82,6626.72,6484.3,6511.45
2025-08-10,6495.57,6582.48,6269.41,6365.02
2025-08-11,6400.33,6558.34,6171.89,6268.67
2025-08-12,6244.89,6391.78,6172.83,6300.6
2025-08-13,6336.2,6466.78,6099.76,6233.98
2025-08-14,6270.83,6336.93,6176.38,6226.77
2025-08-15,6199.19,6279.02,6068.2,6208.97
2025-08-16,6235.85,6392.79,6160.65,6269.29
2025-08-17,6298.18,6414.11,6168.87,6295.44
2025-08-18,6340.76,6418.89,6090.91,6218.8
2025-08-19,6194.37,6278.08,6181.62,6226.19
2025-08-20,6226.78,6416.26,6189.81,6283.96
2025-08-21,6331.85,6527.84,6186.88,6376.09
2025-08-22,6378.59,6529.83,6180.01,6320.8
2025-08-23,6308.24,6422.04,6189.56,6350.09
2025-08-24,6388.74,6456.9,6225.89,6338.77
2025-08-25,6395.55,6480.01,6120.26,6218.17
2025-08-26,6214.62,6420.6,6081.84,6354.02
2025-08-27,6322.1,6581.94,6258.78,6446.92
2025-08-28,6465.1,6556.99,6263.09,6418.68
2025-08-29,6364.5,6475.24,6208.57,6394.94
2025-08-30,6361.77,6466.38,6260.87,6364.01
2025-08-31,6382.51,6463.41,6306.6,6367.65
2025-09-01,6377.04,6482.35,6364.75,6446.52
2025-09-02,6413.11,6444.12,6299.0,6404.34
2025-09-03,6372.89,6399.26,6227.52,6369.68
2025-09-04,6344.78,6606.66,6238.77,6529.09
2025-09-05,6497.75,6980.48,6381.2,6860.38
2025-09-06,6827.69,6991.99,6665.3,6822.97
2025-09-07,6838.5,6847.37,6654.47,6730.05
2025-09-08,6731.02,6826.51,6579.85,6752.98
2025-09-09,6759.93,6959.44,6631.74,6830.49
2025-09-10,6905.27,6980.34,6814.48,6918.99
2025-09-11,6903.65,6930.71,6666.43,6786.33
2025-09-12,6826.48,6850.31,6490.57,6630.31
2025-09-13,6641.54,6814.99,6491.09,6756.84
2025-09-14,6779.48,6823.23,6553.95,6660.39
2025-09-15,6712.22,6764.01,6594.5,6665.85
2025-09-16,6687.67,6939.38,6612.69,6789.07
2025-09-17,6753.42,6921.73,6670.98,6884.93
2025-09-18,6904.09,6976.94,6541.71,6697.12
2025-09-19,6649.87,6718.64,6554.05,6582.03
2025-09-20,6574.47,6602.01,6429.53,6476.69
2025-09-21,6532.3,6548.61,6322.14,6364.61
2025-09-22,6379.03,6601.96,6343.02,6451.18
2025-09-23,6426.79,6695.94,6376.99,6599.4
2025-09-24,6628.45,6698.98,6437.52,6557.58
2025-09-25,6562.51,6609.03,6440.63,6527.03
2025-09-26,6524.83,6575.5,6455.58,6559.51
2025-09-27,6515.25,6677.97,6452.13,6532.28
2025-09-28,6568.82,6679.91,6394.25,6499.77
2025-09-29,6482.69,6629.02,6391.95,6489.21
2025-09-30,6467.88,6536.99,6420.89,6440.5
2025-10-01,6440.82,6526.06,6214.94,6341.77
2025-10-02,6357.81,6405.73,6182.39,6202.27
2025-10-03,6282.77,6349.54,6066.0,6208.35
2025-10-04,6221.62,6296.97,6156.89,6187.35
2025-10-05,6210.16,6288.58,6074.72,6223.58
2025-10-06,6228.93,6378.23,6175.14,6213.01
2025-10-07,6194.13,6326.63,6142.59,6196.67
2025-10-08,6231.67,6281.32,6042.57,6099.77
2025-10-09,6159.98,6182.1,6042.08,6104.01
2025-10-10,6139.87,6354.76,6094.22,6230.75
2025-10-11,6172.76,6245.59,6022.47,6184.48
2025-10-12,6194.49,6283.28,5997.4,6145.94
2025-10-13,6144.1,6246.45,6060.72,6187.47
2025-10-14,6218.51,6355.96,5881.79,6029.19
2025-10-15,6063.14,6192.05,6029.0,6128.27
2025-10-16,6128.8,6218.67,6034.2,6069.01
2025-10-17,6088.91,6332.46,5970.24,6211.08
2025-10-18,6166.85,6290.64,6026.2,6217.38
2025-10-19,6205.91,6342.7,6095.15,6216.04
2025-10-20,6155.46,6274.27,6035.81,6240.0
2025-10-21,6265.64,6407.47,6063.91,6096.0
2025-10-22,6050.58,6102.92,6040.9,6095.73
2025-10-23,6100.76,6236.66,6005.21,6215.7
2025-10-24,6235.38,6317.62,6069.39,6205.34
2025-10-25,6223.54,6451.44,6198.93,6297.89
2025-10-26,6331.01,6372.82,6280.63,6294.18
2025-10-27,6258.68,6606.62,6162.42,6454.08
2025-10-28,6469.88,6655.29,6345.31,6518.9
2025-10-29,6520.54,6664.32,6336.21,6428.2
2025-10-30,6429.12,6440.53,6380.09,6398.71
2025-10-31,6358.14,6443.83,6235.94,6342.16
2025-11-01,6380.32,6527.46,6097.96,6222.13
2025-11-02,6233.12,6359.94,6167.8,6176.46
2025-11-03,6176.66,6270.94,5929.85,6069.61
2025-11-04,6067.53,6208.66,5790.4,5913.03
2025-11-05,5929.31,6000.79,5839.58,5994.39
2025-11-06,6064.08,6128.95,5911.35,5960.17
2025-11-07,5975.46,6159.28,5943.54,6050.92
2025-11-08,6067.55,6129.93,5934.77,6094.23
2025-11-09,6119.93,6220.09,6061.44,6159.55
2025-11-10,6161.65,6287.75,6062.43,6202.72
2025-11-11,6207.81,6383.81,6118.7,6322.83
2025-11-12,6329.59,6393.92,6273.1,6356.64
2025-11-13,6407.15,6548.22,6279.72,6361.05
2025-11-14,6355.66,6504.54,6196.07,6253.56
2025-11-15,6242.46,6333.99,6075.87,6229.83
2025-11-16,6238.46,6313.19,6099.71,6225.63
2025-11-17,6201.29,6325.91,6009.91,6162.04
2025-11-18,6188.02,6203.58,5870.65,6005.28
2025-11-19,6045.59,6061.16,5851.57,5916.66
2025-11-20,5888.8,5932.88,5770.27,5925.95
2025-11-21,5932.26,6025.99,5884.49,6010.14
2025-11-22,5971.44,6096.2,5937.36,5965.58
2025-11-23,5960.31,6065.43,5753.66,5815.91
2025-11-24,5811.59,5986.75,5708.21,5895.41
2025-11-25,5918.18,5945.53,5653.89,5697.12
2025-11-26,5677.9,5708.98,5516.43,5635.17
2025-11-27,5623.4,5680.62,5578.66,5602.61
2025-11-28,5565.03,5687.78,5424.07,5479.84
2025-11-29,5509.53,5601.18,5448.24,5463.22
2025-11-30,5457.4,5526.06,5369.38,5497.56
2025-12-01,5500.76,5638.24,5337.55,5367.27
2025-12-02,5371.09,5408.38,5259.4,5297.89
2025-12-03,5277.33,5344.2,5178.57,5261.95
2025-12-04,5244.69,5276.97,5172.35,5271.53
2025-12-05,5287.57,5524.02,5224.39,5393.12
2025-12-06,5380.15,5386.92,5304.86,5311.27
2025-12-07,5308.97,5445.02,5258.99,5404.24
2025-12-08,5356.53,5425.73,5335.3,5383.6
2025-12-09,5351.06,5437.68,5191.13,5315.63
2025-12-10,5303.73,5443.59,5179.17,5327.47
2025-12-11,5364.79,5450.58,5266.24,5354.26
2025-12-12,5357.36,5572.31,5300.8,5441.04
2025-12-13,5401.27,5448.34,5339.84,5362.63
2025-12-14,5373.11,5424.93,5162.26,5280.81
2025-12-15,5314.05,5344.59,5110.86,5239.65
2025-12-16,5218.21,5524.48,5127.07,5396.97
2025-12-17,5377.42,5435.72,5330.84,5382.85
2025-12-18,5363.27,5472.59,5260.56,5399.6
2025-12-19,5408.3,5465.04,5155.65,5261.55
2025-12-20,5273.78,5332.1,5052.07,5101.02
2025-12-21,5084.31,5282.34,5070.7,5183.4
2025-12-22,5172.44,5223.83,5033.75,5085.49
2025-12-23,5110.4,5117.72,4976.38,5017.03
2025-12-24,5020.76,5167.82,4901.45,5161.98
2025-12-25,5179.64,5305.98,5087.22,5194.94
2025-12-26,5209.77,5264.32,5093.25,5240.97
2025-12-27,5269.11,5395.53,4983.71,5097.26
2025-12-28,5092.8,5177.68,5017.31,5127.39
2025-12-29,5150.64,5249.69,5045.03,5131.65
2025-12-30,5170.12,5362.24,5157.24,5235.14
2025-12-31,5246.94,5334.02,5104.19,5224.05
2026-01-01,5235.76,5321.9,5052.68,5165.87
2026-01-02,5140.12,5149.1,5021.99,5137.71
2026-01-03,5152.4,5196.2,5047.23,5136.06
2026-01-04,5143.73,5178.71,4938.24,5036.43
2026-01-05,5020.09,5093.78,4922.38,5005.29
2026-01-06,5006.68,5116.56,4972.91,5060.87
2026-01-07,5093.34,5124.02,5061.46,5110.23
2026-01-08,5125.65,5177.68,5059.49,5158.45
2026-01-09,5158.12,5289.9,5143.92,5193.36
2026-01-10,5213.1,5295.99,5002.79,5050.16
2026-01-11,5029.05,5203.89,4916.07,5142.53
2026-01-12,5145.88,5272.36,5058.19,5095.34
2026-01-13,5089.32,5164.0,5027.79,5068.61
2026-01-14,5033.31,5053.66,4854.45,4948.19
2026-01-15,4922.56,5083.5,4819.91,4986.18
2026-01-16,4954.48,5122.81,4935.29,5038.2
2026-01-17,5059.1,5119.1,4892.99,4989.19
2026-01-18,5023.46,5031.72,4828.45,4872.08
2026-01-19,4867.9,4916.58,4856.41,4874.37
2026-01-20,4884.41,4962.51,4748.04,4803.19
2026-01-21,4811.29,4902.25,4686.34,4775.35
2026-01-22,4783.83,4971.76,4759.7,4929.91
2026-01-23,4963.42,5061.23,4813.07,4893.38
2026-01-24,4862.09,4957.92,4800.8,4917.66
2026-01-25,4938.73,4978.93,4826.98,4870.66
2026-01-26,4932.26,4984.03,4824.89,4964.03
2026-01-27,4938.24,4971.14,4931.28,4946.9
2026-01-28,4962.05,5010.32,4932.64,4974.37
2026-01-29,4966.4,5076.59,4960.09,4998.66
2026-01-30,4979.63,5258.53,4876.23,5134.99
2026-01-31,5108.16,5318.74,5018.73,5231.42
2026-02-01,5213.47,5371.38,5147.59,5253.69
2026-02-02,5229.86,5432.2,5181.53,5361.31
2026-02-03,5401.58,5498.5,5231.68,5355.57
2026-02-04,5360.09,5473.5,5252.2,5373.9
2026-02-05,5368.35,5398.76,5279.61,5299.02
2026-02-06,5273.91,5439.15,5207.6,5372.51
2026-02-07,5397.01,5410.95,5294.53,5401.67
2026-02-08,5345.63,5399.37,5218.82,5325.68
2026-02-09,5328.9,5419.4,5178.51,5296.71
2026-02-10,5269.0,5378.94,5193.65,5266.81
2026-02-11,5284.14,5389.5,5173.27,5339.47
2026-02-12,5311.07,5415.4,5190.98,5361.38
2026-02-13,5373.63,5510.65,5268.84,5384.95
2026-02-14,5389.86,5500.57,5271.22,5395.38
2026-02-15,5359.53,5465.07,5216.32,5340.81
2026-02-16,5299.21,5343.7,5226.12,5308.3
2026-02-17,5293.73,5563.19,5183.87,5460.89
2026-02-18,5479.92,5502.91,5232.71,5366.54
2026-02-19,5304.14,5397.62,5285.49,5387.81
2026-02-20,5392.61,5464.86,5348.46,5388.29
2026-02-21,5385.73,5448.81,5334.92,5425.68
2026-02-22,5432.19,5568.93,5398.67,5502.22
2026-02-23,5547.31,5621.24,5422.09,5446.92
2026-02-24,5415.2,5513.15,5331.09,5378.65
2026-02-25,5326.17,5565.09,5271.82,5443.51
2026-02-26,5475.84,5621.89,5433.91,5540.48
2026-02-27,5557.5,5594.76,5516.83,5588.16
2026-02-28,5596.29,5751.98,5565.99,5642.27
2026-03-01,5662.9,5687.64,5528.24,5629.4
2026-03-02,5646.67,5701.78,5442.71,5529.95
2026-03-03,5520.58,5750.33,5467.41,5614.88
2026-03-04,5570.56,5674.13,5556.67,5592.27
2026-03-05,5590.47,5789.75,5488.39,5702.98
2026-03-06,5733.09,5833.4,5465.97,5580.33
2026-03-07,5567.74,5808.12,5465.03,5683.33
2026-03-08,5658.07,5670.53,5470.6,5598.44
2026-03-09,5587.36,5661.24,5533.55,5647.29
2026-03-10,5625.54,5811.98,5525.86,5697.12
2026-03-11,5708.4,5954.33,5589.17,5827.21
2026-03-12,5829.34,5920.78,5711.25,5719.16
2026-03-13,5704.42,5758.26,5538.66,5624.81
2026-03-14,5642.51,5773.25,5506.11,5723.84
2026-03-15,5769.38,5816.33,5532.35,5663.66
2026-03-16,5664.59,5893.73,5596.69,5770.77
2026-03-17,5748.21,6041.82,5632.73,5911.67
2026-03-18,5868.0,5930.49,5681.85,5767.88
2026-03-19,5773.39,5868.9,5725.65,5756.67
2026-03-20,5709.75,5753.12,5551.07,5585.25
2026-03-21,5612.71,5798.01,5476.66,5688.55
2026-03-22,5680.0,5753.5,5554.26,5686.65
2026-03-23,5676.63,5838.09,5663.25,5829.21
2026-03-24,5862.54,5871.53,5794.99,5831.77
2026-03-25,5824.42,5951.13,5705.06,5826.56
2026-03-26,5799.78,5828.56,5694.05,5763.97
2026-03-27,5761.28,5822.56,5645.7,5737.87
2026-03-28,5768.09,5864.7,5662.87,5749.57
2026-03-29,5739.69,5859.16,5683.27,5696.39
2026-03-30,5664.02,5762.89,5582.18,5727.87
2026-03-31,5717.6,5727.21,5554.47,5640.43
2026-04-01,5672.9,5772.32,5580.86,5607.24
2026-04-02,5607.76,5623.82,5469.82,5492.35
2026-04-03,5491.82,5562.62,5390.37,5408.86
2026-04-04,5350.72,5521.44,5232.01,5501.2
2026-04-05,5517.11,5594.88,5403.98,5484.36
2026-04-06,5518.16,5635.37,5390.38,5464.13
2026-04-07,5434.13,5440.97,5366.41,5431.46
2026-04-08,5399.89,5424.02,5293.48,5363.36
2026-04-09,5396.49,5426.67,5245.55,5325.42
2026-04-10,5342.22,5447.05,5169.8,5232.78
2026-04-11,5251.92,5361.75,5165.53,5321.87
2026-04-12,5308.99,5690.92,5222.1,5573.58
2026-04-13,5553.94,5595.0,5455.97,5515.43
2026-04-14,5492.62,5559.22,5480.86,5542.66
2026-04-15,5596.09,5768.74,5536.81,5681.65
2026-04-16,5670.54,5739.64,5588.73,5643.2
2026-04-17,5688.17,5862.36,5558.43,5749.3
2026-04-18,5756.15,5819.36,5449.94,5583.94
2026-04-19,5584.67,5811.33,5525.09,5736.87
2026-04-20,5723.82,5860.24,5675.81,5725.69
2026-04-21,5719.96,6022.28,5613.16,5878.11
2026-04-22,5921.35,5948.0,5859.11,5898.3
2026-04-23,5946.4,6060.03,5814.2,5846.43
2026-04-24,5863.17,5928.73,5799.26,5862.8
2026-04-25,5881.34,6137.09,5801.38,6000.3
2026-04-26,5946.64,6011.97,5750.46,5845.07
2026-04-27,5801.62,6091.79,5679.25,6050.08
2026-04-28,6068.3,6310.69,5947.19,6202.77
2026-04-29,6200.8,6262.18,6110.37,6218.41
2026-04-30,6241.65,6307.72,6087.44,6178.24
2026-05-01,6184.15,6333.65,6111.98,6187.29
2026-05-02,6168.94,6400.62,6131.77,6246.5
2026-05-03,6299.97,6313.34,6100.94,6249.18
2026-05-04,6254.86,6406.22,6194.16,6343.23
2026-05-05,6408.16,6524.25,6387.04,6481.23
2026-05-06,6448.3,6541.65,6368.67,6509.14
2026-05-07,6536.69,6685.81,6454.8,6499.77
2026-05-08,6528.0,6583.42,6359.48,6464.07
2026-05-09,6464.68,6660.88,6377.3,6560.41
2026-05-10,6608.98,6736.28,6398.11,6547.74
2026-05-11,6525.03,6826.21,6372.86,6800.08
2026-05-12,6734.59,6775.41,6605.61,6714.84
2026-05-13,6759.49,6925.9,6738.27,6777.35
2026-05-14,6766.0,6879.27,6478.11,6596.95
2026-05-15,6588.26,6731.2,6366.52,6450.08
2026-05-16,6421.83,6529.98,6263.56,6307.29
2026-05-17,6308.91,6420.59,6259.99,6407.38
2026-05-18,6379.72,6592.14,6371.38,6499.7
2026-05-19,6523.74,6663.74,6325.62,6445.36
2026-05-20,6432.41,6761.88,6302.61,6599.23
2026-05-21,6578.97,6743.65,6557.03,6670.52
2026-05-22,6680.46,6689.42,6380.64,6526.08
2026-05-23,6531.24,6637.3,6434.24,6605.32
2026-05-24,6605.07,6709.68,6363.13,6422.68
2026-05-25,6407.11,6545.08,6206.22,6362.18
2026-05-26,6326.52,6425.96,6280.52,6377.42
2026-05-27,6391.59,6449.2,6227.76,6378.14
2026-05-28,6399.97,6499.71,6321.05,6350.77
2026-05-29,6356.22,6417.06,6318.02,6333.29
2026-05-30,6375.16,6549.32,6232.86,6455.97
2026-05-31,6461.22,6636.4,6434.22,6516.37
2026-06-01,6532.36,6634.26,6432.66,6598.45
